Date,High,FEDFUNDS
2021-02-01,41615.656250,0.08
2021-03-01,44313.503906,0.07
2021-04-01,47126.480469,0.07
2021-05-01,42579.671875,0.06
2021-06-01,29325.792969,0.08
2021-07-01,30379.818359,0.10
2021-08-01,36897.652344,0.09
2021-09-01,38163.218750,0.08
2021-10-01,48430.226563,0.08
2021-11-01,50843.445313,0.08
2021-12-01,44320.882813,0.08
2022-01-01,35385.125000,0.08
2022-02-01,33506.320313,0.08
2022-03-01,36750.171875,0.20
2022-04-01,36103.777344,0.33
2022-05-01,31745.869141,0.77
2022-06-01,25344.332031,1.21
2022-07-01,20203.109375,1.68
2022-08-01,20744.753906,2.33
2022-09-01,19339.339844,2.56
2022-10-01,18072.414063,3.08
2022-11-01,18846.128906,3.78
2022-12-01,14726.358398,4.4