Per,
Country ,Percentage
United States,13.38%
India,7.10%
Vietnam,18.73%
China,16.23%
Ukraine,14.52%
Kenya,10.71%
Pakistan,10.62%
Nigeria,9.55%
Russia,9.33%
Venezuela,9.02%
Brazil,7.75%
Colombia,6.63%
Thailand,6.47%
Phillipines,6.13%
South Africa,12.13%
Argentina,5.18%
United Kingdom,6.00%
Turkey,4.50%
Indonesia,4.45%
Ghana,4.30%
Togo,4.21%
South Korea,3.88%
Peru ,3.83%
Tanzania,3.82%
France,4.91%
Malaysia,9.14%
Canada,3.49%
Bangladesh,3.30%
Morocco,3.16%
Cameroon,3.12%
Mexico,3.07%
Germany,5.64%
Belarus,2.97%
Australia,2.94%
Poland,2.83%
Ecuador,2.79%
Netherlands,2.75%
Spain,2.73%
Afghanistan,2.65%
Hong Kong,2.65%
Nepal,2.65%
Iran,2.59%
Chile,2.51%
Bulgaria,2.47%
Mozambique,2.40%
Japan,5.02%
Benin,2.29%
Egypt,2.26%
Italy,2.26%
Zambia,2.24%
Cambodia,2.22%
Democratic Rep. of Congo,2.15%
Portugal,2.14%
Georgia,2.13%
Bolivia,2.10%
Czech Republic,2.08%
Dominican Republic,2.08%
Romania,2.06%
Uganda,2.01%
Slovakia,2.00%
Sri Lanka,2.00%
Belgium,1.98%
Ivory Coast,1.97%
Rwanda,1.94%
Latvia,1.91%
Singapore,11.05%
Moldova,1.88%
Sweden,1.88%
Serbia,1.86%
Switzerland,1.85%
Honduras,1.80%
Zimbabwe,1.78%
Mauritius,1.77%
Algeria,1.77%
Madagascar,1.76%
Greece,1.71%
Jamaica,1.70%
Costa Rica,1.69%
Lebanon,1.69%
Estonia,1.69%
Tunisia ,1.69%
Slovenia,1.68%
Lithuania,1.68%
El Salvador,1.67%
Panama,1.66%
Finland,1.65%
Uzbekistan,1.64%
Guatemala,1.62%
Austria,1.62%
Senegal,1.62%
Kyrgyzstan,1.62%
Norway,1.60%
Kazakhstan,1.59%
Namibia,1.59%
Croatia,1.56%
Angola,1.53%
Mali,1.53%
Ethiopia,1.52%
New Zealand,1.51%
United Arab Emirates,1.50%
Saudi Arabia,1.48%
Hungary,1.48%
Uruguay,1.47%
Malawi,1.47%
Israel,1.47%
Jordan,1.46%
Albania,1.43%
Laos,1.42%
Botswana,1.42%
Cyprus,1.41%
Syria,1.41%
Myanmar,1.41%
Nicaragua,1.40%
Barbados,1.40%
Azerbaijan,1.40%
Denmark,1.39%
Bosnia and Herzegovina,1.39%
Mongolia,1.38%
Iraq,1.37%
Monaco,1.36%
Armenia,1.35%
Ireland,1.35%
Trinidad and Tobago,1.31%
Haití,1.30%
Libya,1.30%
Paraguay,1.30%
Montenegro,1.29%
Puerto Rico,1.28%
Malta,1.27%
North Macedonia,1.26%
Seychelles,1.26%
Burkina Faso,1.25%
Bahamas,1.25%
Belize,1.22%
Kuwait,1.20%
Oman,1.19%
Papua New Guinea,1.18%
Fiji,1.17%
Maldives,1.16%
Qatar,1.16%
Luxembourg,1.06%
French Polynesia,1.05%
Tajikistan,1.05%
Suriname,1.05%
Bahrain,1.04%
Cuba,1.04%
Gabon,1.03%
Turkmenistan,1.03%
Iceland,1.01%
Guyana,1.01%
Macao,1.01%
Cabo Verde,1.00%
New Caledonia,0.99%
Brunei Darussalam,0.99%
"Virgin Islands , U.S.",0.99%
Cayman Islands,0.98%
Bermuda,0.97%