pop2023,area,country,Rank
1428627663,3287590,India,1
1425671352,9706961,China,2
339996563,9372610,United States,3
277534122,1904569,Indonesia,4
240485658,881912,Pakistan,5
223804632,923768,Nigeria,6
216422446,8515767,Brazil,7
172954319,147570,Bangladesh,8
144444359,17098242,Russia,9
128455567,1964375,Mexico,10
126527060,1104300,Ethiopia,11
123294513,377930,Japan,12
117337368,342353,Philippines,13
112716598,1002450,Egypt,14
102262808,2344858,DR Congo,15
98858950,331212,Vietnam,16
89172767,1648195,Iran,17
85816199,783562,Turkey,18
83294633,357114,Germany,19
71801279,513120,Thailand,20
67736802,242900,United Kingdom,21
67438106,945087,Tanzania,22
64756584,551695,France,23
60414495,1221037,South Africa,24
58870762,301336,Italy,25
55100586,580367,Kenya,26
54577997,676578,Myanmar,27
52085168,1141748,Colombia,28
51784059,100210,South Korea,29
48582334,241550,Uganda,30
48109006,1886068,Sudan,31
47519628,505992,Spain,32
45773884,2780400,Argentina,33
45606480,2381741,Algeria,34
45504560,438317,Iraq,35
42239854,652230,Afghanistan,36
41026067,312679,Poland,37
38781291,9984670,Canada,38
37840044,446550,Morocco,39
36947025,2149690,Saudi Arabia,40
36744634,603500,Ukraine,41
36684202,1246700,Angola,42
35163944,447400,Uzbekistan,43
34449825,527968,Yemen,44
34352719,1285216,Peru,45
34308525,330803,Malaysia,46
34121985,238533,Ghana,47
33897354,801590,Mozambique,48
30896590,147181,Nepal,49
30325732,587041,Madagascar,50
28873034,322463,C̫te d'Ivoire,51
28838499,916445,Venezuela,52
28647293,475442,Cameroon,53
27202843,1267000,Niger,54
26439111,7692024,Australia,55
26160821,120538,North Korea,56
23923276,36193,Taiwan,57
23293698,1240192,Mali,58
23251485,272967,Burkina Faso,59
23227014,185180,Syria,60
21893579,65610,Sri Lanka,61
20931751,118484,Malawi,62
20569737,752612,Zambia,63
19892812,238391,Romania,64
19629590,756102,Chile,65
19606633,2724900,Kazakhstan,66
18278568,1284000,Chad,67
18190484,276841,Ecuador,68
18143378,637657,Somalia,69
18092026,108889,Guatemala,70
17763163,196722,Senegal,71
17618299,41850,Netherlands,72
16944826,181035,Cambodia,73
16665409,390757,Zimbabwe,74
14190612,245857,Guinea,75
14094683,26338,Rwanda,76
13712828,112622,Benin,77
13238559,27834,Burundi,78
12458223,163610,Tunisia,79
12388571,1098581,Bolivia,80
11724763,27750,Haiti,81
11686140,30528,Belgium,82
11337052,89342,Jordan,83
11332972,48671,Dominican Republic,84
11194449,109884,Cuba,85
11088796,619745,South Sudan,86
10612086,450295,Sweden,87
10593798,112492,Honduras,88
10495295,78865,Czech Republic,89
10412651,86600,Azerbaijan,90
10341277,131990,Greece,91
10329931,462840,Papua New Guinea,92
10247605,92090,Portugal,93
10156239,93028,Hungary,94
10143543,143100,Tajikistan,95
9516871,83600,United Arab Emirates,96
9498238,207600,Belarus,97
9174520,20770,Israel,98
9053799,56785,Togo,99
8958960,83871,Austria,100
8796669,41284,Switzerland,101
8791092,71740,Sierra Leone,102
7633779,236800,Laos,103
7491609,1104,Hong Kong,104
7149077,88361,Serbia,105
7046310,130373,Nicaragua,106
6888388,1759540,Libya,107
6861524,406752,Paraguay,108
6735347,199951,Kyrgyzstan,109
6687717,110879,Bulgaria,110
6516100,488100,Turkmenistan,111
6364943,21041,El Salvador,112
6106869,342000,Republic of the Congo,113
6014723,710,Singapore,114
5910913,43094,Denmark,115
5795199,49037,Slovakia,116
5742315,622984,Central African Republic,117
5545475,338424,Finland,118
5474360,323802,Norway,119
5418377,111369,Liberia,120
5371230,6220,Palestine,121
5353930,10452,Lebanon,122
5228100,270467,New Zealand,123
5212173,51100,Costa Rica,124
5056935,70273,Ireland,125
4862989,1030700,Mauritania,126
4644384,309500,Oman,127
4468087,75417,Panama,128
4310108,17818,Kuwait,129
4008617,56594,Croatia,130
3748901,117600,Eritrea,131
3728282,69700,Georgia,132
3447157,1564110,Mongolia,133
3435931,33846,Moldova,134
3423108,181034,Uruguay,135
3260314,8870,Puerto Rico,136
3210847,51209,Bosnia and Herzegovina,137
2832439,28748,Albania,138
2825544,10991,Jamaica,139
2777970,29743,Armenia,140
2773168,10689,Gambia,141
2718352,65300,Lithuania,142
2716391,11586,Qatar,143
2675352,582000,Botswana,144
2604172,825615,Namibia,145
2436566,267668,Gabon,146
2330318,30355,Lesotho,147
2150842,36125,Guinea-Bissau,148
2119675,20273,Slovenia,149
2085679,25713,North Macedonia,150
1830211,64559,Latvia,151
1714671,28051,Equatorial Guinea,152
1534937,5130,Trinidad and Tobago,153
1485509,765,Bahrain,154
1360596,14874,Timor-Leste,155
1322765,45227,Estonia,156
1300557,2040,Mauritius,157
1260138,9251,Cyprus,158
1210822,17364,Eswatini,159
1136455,23200,Djibouti,160
981796,2511,Reunion,161
936375,18272,Fiji,162
852075,1862,Comoros,163
813834,214969,Guyana,164
787424,38394,Bhutan,165
740424,28896,Solomon Islands,166
704149,32.9,Macau,167
654768,2586,Luxembourg,168
626485,13812,Montenegro,169
623236,163820,Suriname,170
598682,4033,Cape Verde,171
587259,266000,Western Sahara,172
535064,316,Malta,173
521021.00000000000,300,Maldives,174
452524,5765,Brunei,175
412623,13943,Bahamas,176
410825,22966,Belize,177
395839,1628,Guadeloupe,178
375318,103000,Iceland,179
366981,1128,Martinique,180
335995,374,Mayotte,181
334506,12189,Vanuatu,182
312155,83534,French Guiana,183
308872,4167,French Polynesia,184
292991,18575,New Caledonia,185
281995,430,Barbados,186
231856,964,Sao Tome and Principe,187
225681,2842,Samoa,188
192077,444,Curacao,189
180251,616,Saint Lucia,190
172952,549,Guam,191
133515,811,Kiribati,192
126183,344,Grenada,193
115224,702,Micronesia,194
111802,116,Jersey,195
107773,747,Tonga,196
107660,452,Seychelles,197
106277,180,Aruba,198
103698,389,Saint Vincent and the Grenadines,199
98750,347,United States Virgin Islands,200
94298,442,Antigua and Barbuda,201
84710,572,Isle of Man,202
80088,468,Andorra,203
73040,751,Dominica,204
69310,264,Cayman Islands,205
64069,54,Bermuda,206
63544,78,Guernsey,207
56643,2166086,Greenland,208
53270,1393,Faroe Islands,209
49796,464,Northern Mariana Islands,210
47755,261,Saint Kitts and Nevis,211
46062,948,Turks and Caicos Islands,212
44222,34,Sint Maarten,213
43914,199,American Samoa,214
41996,181,Marshall Islands,215
39584,160,Liechtenstein,216
36297,2.02,Monaco,217
33642,61,San Marino,218
32688.000000000000,6.8,Gibraltar,219
32077,53,Saint Martin,220
31538,151,British Virgin Islands,221
18058,459,Palau,222
17044,240,Cook Islands,223
15899,91,Anguilla,224
12780,21,Nauru,225
11502,274,Wallis and Futuna,226
11396,26,Tuvalu,227
10994,21,Saint Barthelemy,228
5840,242,Saint Pierre and Miquelon,229
4386,102,Montserrat,230
3791,12173,Falkland Islands,231
1935,261,Niue,232
1893,12,Tokelau,233
518,0.44,Vatican City,234